subj,tokprodfr,exchprodfr,price,exp1,exp1cond,exp2,exp2cond,exp3,exp3cond,exp4,exp4cond,exp5,exp5cond,exp6,exp6cond,exp7,exp7cond,freetoken,wage,intrft,intcrit,taxloss,taxcrit,tokprodresp,exchprodresp,tokexchresp,rft,tokennum,inttok,taxtok
1,1,200,1,,,,,,,,,,,,,7,7,,,,,1,12,122,1800,120,120,0,,2
1,1,200,1,,,,,,,,,,,,,7,7,,,,,1,12,111,1400,110,110,0,,1
1,1,200,1,,,,,,,,,,,,,7,7,,,,,1,12,110,1400,108,108,3,,2
1,1,200,1,,,,,,,,,,,,,7,7,,,,,1,12,130,1800,120,120,0,,10
1,1,200,1,,,,,,,,,,,,,7,10,,,,,2,12,104,1600,104,104,0,,0
1,1,200,1,,,,,,,,,,,,,7,10,,,,,2,12,126,1600,118,118,0,,8
1,1,200,1,,,,,,,,,,,,,7,10,,,,,2,12,116,1200,108,108,0,,8
1,1,200,1,,,,,,,,,,,,,7,10,,,,,2,12,145,1200,129,129,0,,16
1,1,200,1,,,,,,,,,,,,,7,10,,,,,2,12,115,1000,103,103,1,,12
1,1,200,1,,,,,,,,,,,,,7,11,,,,,,,110,1200,110,110,7,,0
1,1,200,1,,,,,,,,,,,,,7,11,,,,,,,117,1400,117,117,16,,0
1,1,200,1,,,,,,,,,,,,,7,11,,,,,,,92,1400,92,92,1,,0
1,1,200,1,,,,,,,,,,,,,7,11,,,,,,,83,1400,83,83,3,,0
1,1,200,1,,,,,,,,,,,,,7,11,,,,,,,91,1000,91,91,1,,0
1,1,200,1,,,,,,,,,,,,,7,13,,,,,2,18,81,1200,81,81,6,,0
1,1,200,1,,,,,,,,,,,,,7,13,,,,,2,18,92,1400,90,90,0,,2
1,1,200,1,,,,,,,,,,,,,7,13,,,,,2,18,118,1000,104,104,3,,14
1,1,200,1,,,,,,,,,,,,,7,13,,,,,2,18,100,800,84,84,10,,16
1,1,200,1,,,,,,,,,,,,,7,13,,,,,2,18,99,1000,89,89,3,,10
1,1,200,1,,,,,,,,,,,,,7,14,,,,,5,18,56,600,56,56,2,,0
1,1,200,1,,,,,,,,,,,,,7,14,,,,,5,18,85,800,80,80,2,,5
1,1,200,1,,,,,,,,,,,,,7,14,,,,,5,18,110,800,80,80,4,,30
1,1,200,1,,,,,,,,,,,,,7,14,,,,,5,18,180,600,90,90,1,,90
1,1,200,1,,,,,,,,,,,,,7,14,,,,,5,18,207,1000,142,142,0,,65
1,1,200,1,,,,,,,,,,,,,7,12,,,,,1,18,134,800,119,119,11,,15
1,1,200,1,,,,,,,,,,,,,7,12,,,,,1,18,168,800,157,157,0,,11
1,1,200,1,,,,,,,,,,,,,7,12,,,,,1,18,88,600,80,80,16,,8
1,1,200,1,,,,,,,,,,,,,7,12,,,,,1,18,132,800,125,125,0,,7
1,1,200,1,,,,,,,,,,,,,7,12,,,,,1,18,68,800,68,68,3,,0
1,1,200,1,,,,,,,,,,,,,7,15,,,,,2,18,73,1000,71,71,5,,2
1,1,200,1,,,,,,,,,,,,,7,15,,,,,2,18,87,1000,79,79,18,,8
1,1,200,1,,,,,,,,,,,,,7,15,,,,,2,18,114,1000,100,100,7,,14
1,1,200,1,,,,,,,,,,,,,7,15,,,,,2,18,117,1000,105,105,1,,12
1,1,200,1,,,,,,,,,,,,,7,15,,,,,2,18,104,800,88,88,10,,16
1,1,200,1,,,,,,,,,,,,,7,16,,,,,,,139,800,139,139,0,,0
1,1,200,1,,,,,,,,,,,,,7,16,,,,,,,122,1000,122,122,0,,0
1,1,200,1,,,,,,,,,,,,,7,16,,,,,,,90,800,90,90,0,,0
1,1,200,1,,,,,,,,,,,,,7,16,,,,,,,113,800,113,113,17,,0
1,1,200,1,,,,,,,,,,,,,7,16,,,,,,,86,1000,86,86,5,,0
1,1,200,1,,,,,,,,,,,,,7,17,,,,,1,6,76,1000,43,43,13,,33
1,1,200,1,,,,,,,,,,,,,7,17,,,,,1,6,105,600,91,91,13,,14
1,1,200,1,,,,,,,,,,,,,7,17,,,,,1,6,109,800,85,85,3,,24
1,1,200,1,,,,,,,,,,,,,7,17,,,,,1,6,148,1200,111,111,18,,37
1,1,200,1,,,,,,,,,,,,,7,17,,,,,1,6,132,800,119,119,0,,13
1,1,200,1,,,,,,,,,,,,,7,18,,,,,2,6,100,1200,94,94,15,,6
1,1,200,1,,,,,,,,,,,,,7,18,,,,,2,6,93,800,81,81,4,,12
1,1,200,1,,,,,,,,,,,,,7,18,,,,,2,6,131,1200,69,69,3,,62
1,1,200,1,,,,,,,,,,,,,7,18,,,,,2,6,119,1200,71,71,4,,48
1,1,200,1,,,,,,,,,,,,,7,18,,,,,2,6,119,800,111,111,10,,8
1,1,200,1,,,,,,,,,,,,,7,19,,,,,5,6,92,800,72,72,8,,20
1,1,200,1,,,,,,,,,,,,,7,19,,,,,5,6,60,800,45,45,19,,15
1,1,200,1,,,,,,,,,,,,,7,19,,,,,5,6,136,1000,87,87,6,,49
1,1,200,1,,,,,,,,,,,,,7,19,,,,,5,6,186,1200,62,62,2,,124
1,1,200,1,,,,,,,,,,,,,7,19,,,,,5,6,205,1400,96,96,2,,109
2,1,100,1,1,1,,,,,,,,,,,,,,,,,,,110,1300,110,110,28,,
2,1,100,1,1,1,,,,,,,,,,,,,,,,,,,122,900,122,122,0,,
2,1,100,1,1,1,,,,,,,,,,,,,,,,,,,127,900,127,127,0,,
